Ticker,Year,Risk_Label,3Y_Stock_CAGR,Ann_Volatility,Promoter_Hold,Promoter_Pledge,Inst_Hold_Change,Board_Indep_Pct,Director_Tenure,CEO_Duality,Auditor_Quality,Auditor_Quit,Voting_Dissent,Whistleblower_Cnt,Profit_Growth,Governance_Ratio,Leverage_Risk,Liquidity,CEO_Pay_Gap,Div_Yield,Asset_Quality,Loan_Risk,Environ_Risk,Capex_Trap
Bandhan Bank,2021,1.0,-0.1,0.452,0.4,0.0,0.12,0.7,4.0,0.0,1.0,0.0,0.12,0.0,-0.27,0.022,0.235,0.434,95.0,0.003,0.0681,0.7,0.0,0.0
Bandhan Bank,2022,1.0,-0.22,0.42100000000000004,0.4,0.0,-0.02,0.7,4.0,0.0,1.0,0.0,0.12,0.0,-0.94,0.001,0.201,0.429,95.0,0.0,0.0646,0.75,0.0,0.0
Bandhan Bank,2023,1.0,-0.18,0.389,0.4,0.0,0.01,0.7,4.0,0.0,1.0,0.0,0.12,0.0,16.5,0.014,0.198,0.393,95.0,0.007,0.0487,0.77,0.0,0.0
Bandhan Bank,2024,1.0,-0.12,0.354,0.4,0.0,-0.01,0.7,4.0,0.0,1.0,0.0,0.12,0.0,0.02,0.013,0.183,0.371,95.0,0.009,0.0384,0.71,0.0,0.0
IDBI Bank,2020,1.0,-0.35,0.982,0.947,0.0,0.0,0.55,4.5,0.0,0.0,0.0,0.01,0.0,-0.15,-0.063,0.133,0.472,20.0,0.0,0.275,0.93,0.0,0.0
IDBI Bank,2021,1.0,-0.12,0.521,0.947,0.0,0.01,0.55,4.5,0.0,0.0,0.0,0.01,0.0,1.12,0.005,0.156,0.504,20.0,0.0,0.224,0.97,0.0,0.0
IDBI Bank,2022,1.0,0.15,0.445,0.947,0.0,0.0,0.55,4.5,0.0,0.0,0.0,0.01,0.0,0.66,0.008,0.191,0.567,20.0,0.0,0.202,0.98,0.0,0.0
IDBI Bank,2023,1.0,0.28,0.382,0.947,0.0,0.01,0.55,4.5,0.0,0.0,0.0,0.01,0.0,0.45,0.012,0.204,0.53,20.0,0.01,0.064,0.99,0.0,0.0
IDBI Bank,2024,1.0,0.42,0.32799999999999996,0.947,0.0,0.02,0.55,4.5,0.0,0.0,0.0,0.01,0.0,0.56,0.016,0.223,0.504,20.0,0.02,0.045,0.99,0.0,0.0
HDFC Bank,2020,0.0,0.12,0.5539999999999999,0.26,0.0,0.01,0.75,5.0,0.0,1.0,0.0,0.02,0.0,0.24,0.019,0.185,0.422,150.0,0.011,0.0126,0.72,0.0,0.0
HDFC Bank,2021,0.0,0.15,0.321,0.25,0.0,0.02,0.75,5.0,0.0,1.0,0.0,0.02,0.0,0.18,0.019,0.188,0.461,150.0,0.01,0.0132,0.7,0.0,0.0
HDFC Bank,2022,0.0,0.08,0.285,0.25,0.0,-0.01,0.75,5.0,0.0,1.0,0.0,0.02,0.0,0.19,0.019,0.189,0.482,150.0,0.012,0.0117,0.73,0.0,0.0
HDFC Bank,2023,0.0,0.1,0.252,0.0,0.0,0.05,0.75,5.0,0.0,1.0,0.0,0.02,0.0,0.21,0.021,0.192,0.444,150.0,0.013,0.0112,0.75,0.0,0.0
HDFC Bank,2024,0.0,0.09,0.228,0.0,0.0,0.02,0.75,5.0,0.0,1.0,0.0,0.02,0.0,0.38,0.02,0.188,0.382,150.0,0.014,0.0124,0.74,0.0,0.0
