Ticker,Year,Risk_Label,3Y_Stock_CAGR,Ann_Volatility,Promoter_Hold,Promoter_Pledge,Inst_Hold_Change,Board_Indep_Pct,Director_Tenure,CEO_Duality,Auditor_Quality,Auditor_Quit,Voting_Dissent,Whistleblower_Cnt,Profit_Growth,Governance_Ratio,Leverage_Risk,Liquidity,CEO_Pay_Gap,Div_Yield,Asset_Quality,Loan_Risk,Environ_Risk,Capex_Trap
JSW Steel,2022,0.0,0.524,0.385,0.448,0.165,0.05,0.5,3.5,1.0,1.0,0.0,0.0012,35.0,1.6,0.264,1.8,1.05,180.0,0.029,0.0,0.0,0.0,1.0
JSW Steel,2023,0.0,0.452,0.314,0.454,0.148,0.05,0.5,4.2,1.0,1.0,0.0,0.0009,24.0,-0.7,0.081,3.9,0.85,140.0,0.004,0.0,0.0,0.0,1.0
JSW Steel,2024,0.0,0.185,0.285,0.448,0.114,0.0,0.5,4.8,1.0,1.0,0.0,0.0008,16.0,1.28,0.128,3.3,0.94,145.0,0.0025,0.0,0.0,0.0,1.0
Hindalco,2020,0.0,-0.325,0.621,0.3465,0.0,-0.05,0.5,5.5,0.0,1.0,0.0,0.0002,245.0,-0.26,0.065,3.85,1.15,180.0,0.005,0.0,0.0,0.0,0.12
Hindalco,2021,0.0,0.135,0.485,0.3464,0.0,0.0,0.5,6.1,0.0,1.0,0.0,0.0005,290.0,0.38,0.088,2.59,1.25,160.0,0.0085,0.0,0.0,0.0,0.1
Hindalco,2022,0.0,0.462,0.412,0.3464,0.0,0.05,0.55,3.5,0.0,1.0,0.0,0.0002,312.0,0.59,0.146,1.36,1.3,250.0,0.011,0.0,0.0,0.0,0.14
Hindalco,2023,0.0,0.645,0.345,0.3464,0.0,-0.05,0.55,4.2,0.0,1.0,0.0,0.0008,196.0,-0.12,0.114,1.39,1.2,220.0,0.0085,0.0,0.0,0.0,0.18
Hindalco,2024,0.0,0.198,0.312,0.3464,0.0,0.0,0.55,4.8,0.0,1.0,0.0,0.0005,272.0,0.12,0.129,1.43,1.18,245.0,0.0055,0.0,0.0,0.0,0.22
APL Apollo Tubes,2020,0.0,-0.095,0.552,0.3942,0.285,0.0,0.5,8.5,1.0,1.0,0.0,0.0,0.0,0.78,0.245,1.8,0.95,45.0,0.0,0.0,0.0,0.0,0.0
APL Apollo Tubes,2021,0.0,0.754,0.451,0.368,0.124,0.05,0.5,9.2,1.0,1.0,0.0,0.0,0.0,0.59,0.252,0.6,1.05,50.0,0.0,0.0,0.0,0.0,0.0
APL Apollo Tubes,2022,0.0,1.15,0.385,0.345,0.0,1.0,0.5,10.5,1.0,1.0,0.0,0.0002,0.0,0.52,0.298,0.0,1.15,50.0,0.0035,0.0,0.0,0.0,1.0
APL Apollo Tubes,2023,0.0,0.524,0.324,0.312,0.0,0.05,0.55,11.2,1.0,1.0,0.0,0.0005,0.0,0.04,0.312,0.0,1.2,55.0,0.0035,0.0,0.0,0.0,1.0
APL Apollo Tubes,2024,0.0,0.185,0.285,0.2944,0.0,1.0,0.55,12.5,1.0,1.0,0.0,0.0,0.0,0.14,0.236,0.0,1.18,100.0,0.0026,0.0,0.0,0.0,1.0
Ratnamani Metals,2020,0.0,0.085,0.421,0.6018,0.0,0.0,0.5,8.5,1.0,0.0,0.0,0.0,0.0,0.21,0.195,0.0,1.85,70.0,0.012,0.0,0.0,0.0,0.0
Ratnamani Metals,2021,0.0,0.224,0.365,0.6008,0.0,0.05,0.5,9.2,1.0,0.0,0.0,0.0,0.0,-0.1,0.168,0.0,1.95,75.0,0.009,0.0,0.0,0.0,0.0
Ratnamani Metals,2022,0.0,0.385,0.312,0.5979,0.0,0.05,0.55,4.5,1.0,0.0,0.0,0.0,0.0,0.18,0.185,0.0,1.75,80.0,0.007,0.0,0.0,0.0,1.0
Ratnamani Metals,2023,0.0,0.524,0.265,0.5979,0.0,0.0,0.55,5.2,1.0,0.0,0.0,0.0002,0.0,0.55,0.242,0.0,1.65,95.0,0.006,0.0,0.0,0.0,0.0
Ratnamani Metals,2024,0.0,0.456,0.248,0.5979,0.0,1.0,0.55,6.1,1.0,0.0,0.0,0.0,0.0,0.22,0.225,0.0,1.7,100.0,0.005,0.0,0.0,0.0,0.0
Manganese Ore,2020,0.0,-0.185,0.452,0.5384,0.0,-0.05,0.5,2.5,1.0,0.0,0.0,0.0,0.0,-0.47,0.094,0.0,2.8,4.0,0.058,0.0,0.0,0.0,0.0
Manganese Ore,2021,0.0,-0.052,0.385,0.5384,0.0,0.0,0.5,2.8,1.0,0.0,0.0,0.0,0.0,-0.29,0.074,0.0,3.2,4.0,0.045,0.0,0.0,0.0,0.0
Manganese Ore,2022,0.0,0.124,0.342,0.6468,0.0,0.05,0.5,3.2,1.0,0.0,0.0,0.0,0.0,1.13,0.185,0.0,2.9,4.0,0.042,0.0,0.0,0.0,0.0
Manganese Ore,2023,0.0,0.245,0.285,0.6468,0.0,-0.05,0.5,1.5,1.0,0.0,0.0,0.0,0.0,-0.34,0.149,0.0,3.7,5.0,0.025,0.0,0.0,0.0,0.0
Manganese Ore,2024,0.0,0.421,0.264,0.6468,0.0,0.0,0.5,1.2,1.0,0.0,0.0,0.0,0.0,0.17,0.158,0.0,4.1,5.0,0.019,0.0,0.0,0.0,0.0
GMDC,2020,1.0,-0.245,0.582,0.74,0.0,-0.05,0.5,1.5,1.0,0.0,0.0,0.0,0.0,-0.28,0.045,0.0,2.1,3.0,0.0,0.0,0.0,1.0,0.0
GMDC,2021,1.0,-0.125,0.485,0.74,0.0,-0.05,0.5,1.8,1.0,0.0,0.0,0.0,0.0,-1.0,-0.084,0.0,1.9,3.0,0.0,0.0,0.0,1.0,0.0
GMDC,2022,0.0,0.452,0.421,0.74,0.0,0.05,0.5,2.1,1.0,0.0,0.0,0.0,0.0,0.1,0.175,0.0,2.4,3.0,0.025,0.0,0.0,1.0,0.0
GMDC,2023,0.0,1.154,0.354,0.74,0.0,1.0,0.5,1.2,1.0,0.0,0.0,0.0,0.0,1.7,0.311,0.0,2.8,3.0,0.105,0.0,0.0,1.0,0.0
GMDC,2024,0.0,0.652,0.321,0.74,0.0,1.0,0.5,2.5,1.0,0.0,0.0,0.0,0.0,-0.5,0.135,0.0,3.2,3.0,0.028,0.0,0.0,1.0,0.0
